23:26:51 START 1   / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 5   / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 9   / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 13  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 17  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 21  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 25  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 29  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 33  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 37  / 300 : {'epochs': 10, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 41  / 300 : {'epochs': 10, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 45  / 300 : {'epochs': 10, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 49  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 53  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 57  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 61  / 300 : {'epochs': 17, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 65  / 300 : {'epochs': 17, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 69  / 300 : {'epochs': 17, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.0001}
23:26:51 START 73  / 300 : {'epochs': 17, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.0001}
00:46:32 ENDED 13  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.0001} (0.43686047719085236)
00:46:32 START 14  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.001}
00:48:57 ENDED 49  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.0001} (0.7242054141272136)
